NO_CURSO,QT_MAT,PERC_FEM,PERC_MASC
Psicologia,311435,79.55688988071347,20.44311011928653
Medicina,245501,61.42133840595354,38.57866159404646
Administração,637520,59.20441711632576,40.795582883674236
Jornalismo,7360,56.86141304347826,43.13858695652174
Direito,669819,56.39881818819711,43.60118181180289
Educação Física,368585,37.34281102052444,62.65718897947556
Física,34117,30.193158835771023,69.80684116422897
Engenharia Civil,183381,29.06189845185706,70.93810154814294


